"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"search:Scientific_Discipline:1         ","Class","Scientific_Discipline","1.0","search","Information about the scientific discipline and research context.","drum","","","","","","","","","","",""
"search:Scientific_Discipline:2          search:study_focus:1                   ","Attribute","study_focus","n/a","search","High-level research focus.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Scientific_Discipline:2          search:scientific_field:1              ","Attribute","scientific_field","n/a","search","What are the different scientific fields of study.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Scientific_Discipline:2          search:investigation_technique:1       ","Attribute","investigation_technique","n/a","search","What method of scientific investigations are used.","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Target_Object:1                 ","Class","Target_Object","1.0","search","Information about the target of observation, whether it is a celestial body, feature, or other object.","drum","","","","","","","","","","",""
"search:Target_Object:2                  search:object_name:1                   ","Attribute","object_name","n/a","search","Name of the object","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Target_Object:2                  search:parent_body:1                   ","Attribute","parent_body","n/a","search","Parent body of the object","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Target_Object:2                  search:target_scope:1                  ","Attribute","target_scope","n/a","search","Scope of the data collection","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Object_Type:1                   ","Class","Object_Type","1.0","search","Select the categories within which the data would fit into","drum","","","","","","","","","","",""
"search:Object_Type:2                    search:planet_type:1                   ","Attribute","planet_type","n/a","search","Planet","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Object_Type:2                    search:particles_and_fields_type:1     ","Attribute","particles_and_fields_type","n/a","search","Fields of an object","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Object_Type:2                    search:dust_type:1                     ","Attribute","dust_type","n/a","search","Dust","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Object_Type:2                    search:solar_component_type:1          ","Attribute","solar_component_type","n/a","search","Solar component","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Object_Type:2                    search:solar_system_context:1          ","Attribute","solar_system_context","n/a","search","Solar system or planetary system as the target context","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Object_Type:2                    search:exoplanet_type:1                ","Attribute","exoplanet_type","n/a","search","Type of an exoplanet","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Small_Body:1                    ","Class","Small_Body","1.0","search","Small body","drum","","","","","","","","","","",""
"search:Small_Body:2                     search:asteroid_type:1                 ","Attribute","asteroid_type","n/a","search","Asteroid","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Small_Body:2                     search:trans_neptunian_object_type:1   ","Attribute","trans_neptunian_object_type","n/a","search","Trans-Neptunian Object","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Small_Body:2                     search:centaur_type:1                  ","Attribute","centaur_type","n/a","search","Centaur","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Small_Body:2                     search:kuiper_belt_object_type:1       ","Attribute","kuiper_belt_object_type","n/a","search","Kuiper Belt Object","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Small_Body:2                     search:oort_cloud_object_type:1        ","Attribute","oort_cloud_object_type","n/a","search","Oort Cloud Object","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Small_Body:2                     search:comet_type:1                    ","Attribute","comet_type","n/a","search","Comet","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Small_Body:2                     search:satellite_type:1                ","Attribute","satellite_type","n/a","search","Satellite","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Atmosphere:1                    ","Class","Atmosphere","1.0","search","Atmosphere of a celestial body","drum","","","","","","","","","","",""
"search:Atmosphere:2                     search:atmospheric_layer:1             ","Attribute","atmospheric_layer","n/a","search","Layer of the atmosphere","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Atmosphere:2                     search:atmosphere_study_type:1         ","Attribute","atmosphere_study_type","n/a","search","Type of study of the atmosphere","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Rings:1                         ","Class","Rings","1.0","search","Rings of an object","drum","","","","","","","","","","",""
"search:Rings:2                          search:ring_type:1                     ","Attribute","ring_type","n/a","search","Type of ring","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Rings:2                          search:ring_division:1                 ","Attribute","ring_division","n/a","search","Division of the ring","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Rings:2                          search:ring_feature:1                  ","Attribute","ring_feature","n/a","search","Feature of the ring","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Feature:1                       ","Class","Feature","1.0","search","Feature","drum","","","","","","","","","","",""
"search:Feature:2                        search:feature_name:1                  ","Attribute","feature_name","n/a","search","Name of the feature","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Feature:2                        search:feature_type:1                  ","Attribute","feature_type","n/a","search","Type of the feature","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Physical_Properties:1           ","Class","Physical_Properties","1.0","search","Information about the physical properties of the object under study.","drum","","","","","","","","","","",""
"search:Physical_Properties:2            search:material_type:1                 ","Attribute","material_type","n/a","search","Material type of the object","drum","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
