"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"search:Target_Object:1                 ","Class","Target_Object","1.0.0.0","search","Information about the celestial body being studied.","drum","","","","","","","","","","",""
"search:Target_Object:2                  search:body_type:1                     ","Attribute","body_type","n/a","search","Classification of the celestial body being studied.","drum","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Target_Object:2                  search:body_type:2                      Value:Asteroid","Value","Asteroid","","","A small rocky body orbiting the sun"
"search:Target_Object:2                  search:body_type:2                      Value:Comet","Value","Comet","","","An icy small solar system body"
"search:Target_Object:2                  search:body_type:2                      Value:Exoplanet","Value","Exoplanet","","","A planet outside our solar system"
"search:Target_Object:2                  search:body_type:2                      Value:Moon","Value","Moon","","","A natural satellite orbiting a planet"
"search:Target_Object:2                  search:body_type:2                      Value:Other","Value","Other","","","Any body type not covered by other values"
"search:Target_Object:2                  search:body_type:2                      Value:Planet","Value","Planet","","","A planetary body orbiting a star"
"search:Target_Object:2                  search:object_name:1                   ","Attribute","object_name","n/a","search","Specific name of the celestial body being studied.","drum","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Target_Object:2                  search:parent_body:1                   ","Attribute","parent_body","n/a","search","For moons/satellites, specifies the parent planet or body.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Scientific_Discipline:1         ","Class","Scientific_Discipline","1.0.0.0","search","Information about the scientific discipline and research context.","drum","","","","","","","","","","",""
"search:Scientific_Discipline:2          search:primary_field:1                 ","Attribute","primary_field","n/a","search","Primary scientific field of study.","drum","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
