"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"search:Scientific_Discipline:1         ","Class","Scientific_Discipline","1.0.0.0","search","Information about the scientific discipline and research context.","drum","","","","","","","","","","",""
"search:Scientific_Discipline:2          search:primary_field:1                 ","Attribute","primary_field","n/a","search","Primary scientific field of study.","drum","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Astrobiology","Value","Astrobiology","","","Study of life in the universe"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Astronomy_Exoplanets","Value","Astronomy_Exoplanets","","","Study of exoplanets"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Astronomy_Observatio","Value","Astronomy_Observation","","","Observation of celestial objects"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Astronomy_Radar","Value","Astronomy_Radar","","","Radar observations of celestial objects"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Astronomy_Spectrosco","Value","Astronomy_Spectroscopy","","","Spectroscopy of celestial objects"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Atmospheric_Study","Value","Atmospheric_Study","","","Atmospheric studies of the Earth and other planets"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Dynamics","Value","Dynamics","","","Dynamics of the Earth and other planets"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Geology_Crater_Count","Value","Geology_Crater_Counting","","","Crater counting of the Earth and other planets"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Geology_Geophysics","Value","Geology_Geophysics","","","Geophysics of the Earth and other planets"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Geology_Interior_Stu","Value","Geology_Interior_Studies","","","Interior studies of the Earth and other planets"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Geology_Seismology","Value","Geology_Seismology","","","Seismology of the Earth and other planets"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Geology_Surface","Value","Geology_Surface","","","Surface studies of the Earth and other planets"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Laboratory_Age_Datin","Value","Laboratory_Age_Dating","","","Age dating of physical samples"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Laboratory_Analytic_","Value","Laboratory_Analytic_Chemistry","","","Analytic chemistry of physical samples"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Laboratory_Cosmochem","Value","Laboratory_Cosmochemistry","","","Cosmochemistry of physical samples"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Laboratory_Geochemis","Value","Laboratory_Geochemistry","","","Geochemistry of physical samples"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Laboratory_Spectral_","Value","Laboratory_Spectral_Analysis","","","Spectral analysis of physical samples"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Magnetospheres","Value","Magnetospheres","","","Magnetospheres of the Earth and other planets"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Modeling","Value","Modeling","","","Modeling of the Earth and other planets"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Other","Value","Other","","","Any field not covered by other values"
"search:Scientific_Discipline:2          search:primary_field:2                  Value:Space_Physics","Value","Space_Physics","","","Space physics of the Earth and other planets"
"search:Scientific_Discipline:2          search:investigation_technique:1       ","Attribute","investigation_technique","n/a","search","Method of scientific investigation used.","drum","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Scientific_Discipline:2          search:investigation_technique:2        Value:Geochemistry","Value","Geochemistry","","","Collection of geochemical data"
"search:Scientific_Discipline:2          search:investigation_technique:2        Value:Gravimetry","Value","Gravimetry","","","Collection of gravity data"
"search:Scientific_Discipline:2          search:investigation_technique:2        Value:ICPMS","Value","ICPMS","","","Collection of inductively coupled plasma mass spectrometry data"
"search:Scientific_Discipline:2          search:investigation_technique:2        Value:Mapping","Value","Mapping","","","Collection of maps"
"search:Scientific_Discipline:2          search:investigation_technique:2        Value:Modeling","Value","Modeling","","","Computer-based simulation or modeling"
"search:Scientific_Discipline:2          search:investigation_technique:2        Value:Other","Value","Other","","","Any investigation technique not covered by other values"
"search:Scientific_Discipline:2          search:investigation_technique:2        Value:Radar","Value","Radar","","","Collection of radar data"
"search:Scientific_Discipline:2          search:investigation_technique:2        Value:SEM","Value","SEM","","","Collection of scanning electron microscopy data"
"search:Scientific_Discipline:2          search:investigation_technique:2        Value:Seismology","Value","Seismology","","","Collection of seismic data"
"search:Scientific_Discipline:2          search:investigation_technique:2        Value:Spectroscopy","Value","Spectroscopy","","","Collection of spectra"
"search:Scientific_Discipline:2          search:investigation_technique:2        Value:TEM","Value","TEM","","","Collection of transmission electron microscopy data"
